Waypoint;Lat_m;Long_m;A320_height;B737NG_height;B777_height;A330_height;B787_height;A320_speed;B737NG_speed;B777_speed;A330_speed;B787_speed;A320_vertical_speed;B737NG_vertical_speed;B777_vertical_speed;A330_vertical_speed;B787_vertical_speed
ABASA;4483.848283;665.5371276;;;;;;;;;;;;;;;
ABILO;317.2581045;3070.771568;;;;;;;;;;;;;;;
ALAMO;4048.010791;3543.186025;;;;11448.71127;;;;;463.1017578;;;;;3.979333333;
AMBOY;2975.548012;2342.781111;;;;11193.28027;;;;;480.5448863;;;;;3.747540984;
AZIZA;2270.552995;479.8224568;;;;;;;;;;;;;;;
CA;-2268.032204;3070.771568;9911.479875;9947.957461;;9943.685343;;440.751722;457.5099793;;478.7247819;;4.743630069;5.053147337;;6.163394017;
CIELA;2495.93124;893.9503992;;;;;;;;;;;;;;;
CORIL;180.3643521;1908.332284;;8319.341976;;;;;442.9335366;;;;;6.236177524;;;
DIYAN;-195.9519619;462.1254856;;;;5114.981951;;;;;383.3562023;;;;;7.30527586;
DOLTA;1110.223081;-1808.89044;;;;;;;;;;;;;;;
FRIDA;877.0767105;2784.637568;;9964.418649;;;;;450.5688603;;;;;5.013278301;;;
GOLDY;-793.788085;513.9816708;;;;;;;;;;;;;;;
INDAH;2577.676468;496.7476996;;;;;;;;;;;;;;;
INTAN;-460.3250138;-78.71;;;;;;;;;;;;;;;
LEPAS;1678.324348;1642.879012;;;;9107.945796;;;;;463.9883361;;;;;5.336078869;
NADIN;1482.526672;3456.759482;;;;;;;;;;;;;;;
PW;-2024.854131;743.9383992;6414.951429;6114.106164;;6345.493462;;408.4144308;391.9637829;;368.3307176;;8.708571429;8.755559858;;6.636774194;
SIKAD;2244.522075;-1168.303827;;;;;;;;;;;;;;;
SIPAH;2434.918132;-1502.281284;;;;;;;;;;;;;;;
SUPIN;-536.5658015;-692.7511564;;;;3951.584429;;;;;354.8959162;;;;;11.79870968;
TATIK;-793.788085;513.9816708;;4000.712695;;;;;362.7866393;;;;;10.27284562;;;
TIKHA;4251.730878;1971.609198;;;;;;;;;;;;;;;
TOMBO;1743.504465;450.9621852;;;;;;;;;;;;;;;
TULIP;1660.987487;-2355.436383;;;;8385.09956;;;;;486.539657;;;;;4.649491525;
ZULDY;2023.259483;1327.061342;;;;;;;;;;;;;;;
